기업명,주소,직무,직급,이용하는 기술스택,우대사항,해당 페이지 URL,자격요건
21세기전파상,서울 서초구 강남대로53길 8 스타크 강남빌딩 6층 2호,21세기전파상의 Next Tech Device Commerce 플랫폼을 만들어나갈 CTO를 모십니다!,시니어 (9년 이상),"['Git', 'Github', 'AWS', 'MySQL', 'SQL', 'JavaScript', 'React', 'React Native', 'Node.js']","• 프론트엔드는 next.js, react.js 사용중입니다
• bootstrap 기반 자체 UI 가이드 개발이 가능하신분",https://www.rallit.com/positions/679/%EA%B0%9C%EB%B0%9C-%EC%B4%9D%EA%B4%84-cto,"• 개발조직 리드 경험자
• 좋은 개발문화를 만드는데 관심이 많으신 분
• 주니어 개발자 매니징
• 풀스택 실무 경험 6년 이상
• Git 사용 및 전반적인 소스 CI/CD 경험자
• TDD 테스트 주도 개발 경험자
• MySQL, Node.js express, Nest.js, Next.js, typescript 개발 경험자
• RESTful API구축 및 설계 경험이 있으신 분
• CentOS 및 클라우드 컴퓨팅 서버(AWS, NCP)관련한 지식이 있으신 분
• 웹접근성/표준 및 DOM에 대한 이해도가 있는 분
• 클린코드/코드리뷰 문화 적응 가능자"
코코네 M,,(Cocone M) 인프라 엔지니어,시니어 (9년 이상),"['AWS', 'Docker', 'CI/CD', 'Jenkins']","• DevOps/SRE 팀의 리딩 경험이 있는 분
• 장애 예방과 탐지, 전파와 조치 등의 프로세스를 정립하고 개선한 경험이 있는 분
• 인프라 및 미들웨어 연계 구간에 대한 깊은 이해와 구성 경험을 보유하신 분
• 다양한 인프라 및 어플리케이션, 오픈소스에 대한 아키텍처 설계, 구축 경험이 있으신 분
• Docker 및 Kubernetes, OpenShift 등 컨테이너 오케스트레이션 환경을 설계 및 구축한 경험이 있으신 분
• IaC 구축 및 운영 경험이 있으신 분
• 대규모 트래픽 처리를 위한 애플리케이션 인프라 구성 경험이 있으신 분
• 복잡한 시스템에 대하여 디버깅 할 수 있는 능력을 보유하신 분

[기술스택]

• CentOS, Ubuntu, RockyLinux, windows 
• AWS, GCP, NBP, On-premise
• munin, zabbix, prometeus , grafana, Datadog, CloudWatch, ELK, Redash, BigQuery
• MongoDB, MariaDB, Redis, ElasticSearch, CockroachDB
• Jira, confluence, Slack 
• bash, nodeJs, python
• Docker, K8S, ECR
• firebase, adjust, braze, google analytics",https://www.rallit.com/positions/1097/cocone-m-sre%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-site-reliability-engineering,"• AWS, GCP 와 같은 클라우드 서비스의 운영 경험이 있는 분
• CI/CD 구축 및 운영 경험이 있는 분
• 무중단 서비스의 고가용성 유지를 위한 서버 인프라 설계 및 모니터링 경험이 있는 분
• 대용량 트래픽 서비스 운영 경험 및 트러블 슈팅 경험
• IT 장애발생시 장애조치 리드 및 원인분석, 유관부서 커뮤니케이션 역량을 보유하신 분
• 신규 또는 기존 서비스 성능테스트 및 분석, 개선 역할을 해본 경험"
유한회사 일루미나리안,서울 강남구 강남대로 364 미왕빌딩 14층,일루미나리안의 백엔드 개발자 채용 관련 내용은 아래에서 확인하실 수 있습니다.,주니어 (1~3년),"['Java', 'Go', 'ORM', 'GitHub', 'MySQL', 'MariaDB', 'Spring Boot', 'AWS']","- 컴퓨터 관련 학위가 있으신 분이면 더 좋습니다.
- 금융권 혹은 핀테크 프로젝트 개발 경험이 있으신 분이면 더 좋습니다.
- Spring Boot (Java, Kotlin) 기반으로 서비스를 구축/운영한 경험이 있으신 분이면 더 좋습니다.
- 결제 및 정산 관련 서비스의 개발 경험이 있으신 분이면 더 좋습니다.
- AWS 환경에서의 개발 경험이 있으신 분이면 더 좋습니다.
- 대규모 트래픽 처리 및 고가용성 처리 개발 경험이 있으신 분이면 더 좋습니다.
- 기본적인 자료구조/알고리즘에 대한 이해가 있으신 분이면 더 좋습니다.
- Github 링크 및 포트폴리오 (블로그) 링크 또는 관련 문서 제출이 가능하신 분이면 더 좋습니다.
- 개발지식 공유활동을 해본 경험(stackoverflow, 개인 블로그, 오프라인 컨퍼런스, git 등)이 있으신 분이면 더 좋습니다.
- 개발에 참여한 제품에 대한 책임감이 있으신 분이면 더 좋습니다.
- 높은 품질의 소프트웨어 개발을 위해 지속적인 고민과 노력이 있으셨던 분이면 더 좋습니다.
- 비즈니스 수준의 영어 혹은 일본어가 가능하신 분이면 더 좋습니다.",https://www.rallit.com/positions/2282/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,"- 1년 이상 또는 그에 준하는 백엔드 서비스 개발 및 운영 경험이 있으신 분
- Java, Golang 등 최소한 하나 이상의 언어를 사용하여 개발에 참여했던 경험이 있으시거나 해당 언어에 관심을 가지고 공부하시는 분
- ORM, 인증, Restful API 등 인터넷 서비스 개발 경험이 있으신 분
- MySQL 또는 Maria 등의 DB 사용경험이 있으신 분
- 여러 직무의 팀원들과 원활하게 대화할 수 있는 의사소통 능력을 가지신 분
- 담당하고 있는 개발 프로젝트에 대해 다른 팀원들이 이해할 수 있도록 설명하는 능력을 가지신 분"
넵튠클라우드,서울 강남구 역삼로 169 명우빌딩 5층,백엔드 엔지니어,미들 (4~8년),"['Spring', 'Node.js', 'Google Cloud Platform', 'AWS']","- Spring 활용 경험
- 데스크탑, 모바일, 웹 어플리케이션 개발 경험
- GraphQL 활용 경험
- CI/CD 구축, 운영 경험
- Event Driven Architecture 이해 (Kafka, RabbitMQ 등 활용 경험 )",https://www.rallit.com/positions/655/backend-developer,"- 백엔드 개발 경력 3년 이상 (node.js, Java, C# 등)
- RESTful API 설계 및 개발 경험
- NoSQL(ex.MongoDB, DynamoDB etc) 활용 경험
- Cloud 서비스 이용 경험 (GCP, AWS, Azure 등)"
주식회사 픽소,,"앱스토어 1,800만 다운로드 달성! 글로벌 무대에서 위대한 성과를 이루기까지!🔥
이 위대한 도전에 함께 할 픽소 백엔드 엔지니어를 찾습니다!",미들 (4~8년),"['Node.js', 'TypeScript', 'Webpack', 'AWS', 'Lambda', 'dynamodb', 'GitHub', 'Slack', 'Notion']","- IT 스타트업에서 테크 리드 혹은 프로젝트 리딩의 경험이 있으신 분
- 프로덕트 개발 full cycle에 대한 깊은 이해와 경험이 있으신분
- 글로벌 서비스를 위한 인프라 아키텍처 설계, 개발 경험이 있으신 분
- 아키텍쳐 변경에 따른 마이그레이션 경험이 있으신 분
- Java/Kotlin, Spring Boot에 대한 이해와 프로젝트 수행 경험을 가지신 분
- AWS 혹은 기타 클라우드 환경을 활용한 개발/운영 경험이 있으신 분",https://www.rallit.com/positions/2279/%EB%B0%B1%EC%97%94%EB%93%9C-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-5%EB%85%84-%EC%9D%B4%EC%83%81,"- 픽소의 미션과 비전을 이해하고, 공감하실 수 있는 분
- node.js 기반의 백엔드 직무 경험이 5년 이상 이신 분
- typescript, Kotlin/Spring 개발 경험이 있으신 분
- MSA 아키텍처 개발 경험이 있으신 분
- CMS(Content Management System) 연동 개발 경험이 있으신 분
- 난이도 높은 문제를 최적의 솔루션으로 해결하시는 것을 즐기시는 분
- 다양한 직군의 팀원들과 원활한 커뮤니케이션과 협업이 가능하신 분
- 개인의 성과보다 팀의 성과에 더 가치를 두시는 분
- 글로벌 서비스 성공 경험을 주도적으로 만들어 가길 원하시는 분"
인프랩 (인프런),경기 성남시 분당구 대왕판교로 660 유스페이스1 1A 동 4층 405호,인프런의 어드민을 비롯한 백엔드 시스템 개발 업무를 담당합니다.,인턴,"['Node.js', 'PostgreSQL', 'JavaScript', 'AWS']","- TypeScript, Java, Kotlin 등 강타입 (Strongly Typed) 언어를 이해하고 있으신 분
- Jest, Mocha, Junit 등 테스트 프레임워크를 통해 테스트 코드를 작성해오신 분
- OOP에 대한 기본적인 이해도가 있으신 분 (객체의 역할 / 책임 / 협력, 메세지 등)
- NestJS, Spring MVC와 같은 MVC Framework를 사용해본 경험이 있으신 분
- 레이어드 아키텍처 (Layered Architecture) 가 왜 필요한지 이해하고, 적용해서 개발하고 계신 분
- 언어/프레임워크에 관계 없이 DI (Dependency Injection) 패턴을 사용하고 있고, 왜 필요한지 알고 계신 분
- TypeORM, Prisma, MikroORM 등 Type이 있는 ORM 을 사용해본 경험이 있으신 분
- MySQL 혹은 PostgreSQL 과 같은 RDBMS 의 실행계획을 통해 인덱스 튜닝 / 쿼리 튜닝등을 진행해본 경험이 있으신 분
- AWS 인프라 위에 1개 이상의 애플리케이션을 배포하고 실행해본 경험이 있으신 분",https://www.rallit.com/positions/2246/%EC%9D%B8%ED%84%B4-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-node-js,"아래 개발팀의 미션과 가치에 동의하시는 분이어야 합니다.
https://tech.inflab.com/20231117-devteam-value/

- 계약기간 (약 6개월) 동안 full-time 근무 가능하신 분
- Node.js 기반의 백엔드 개발 경험이 있으신 분
- JavaScript 에 대한 이해가 있으신 분
- Linux의 기본적인 명령어들을 사용할 수 있고, EC2에 기본적인 패키지들을 설치하고 Node 애플리케이션을 실행할 수 있으신 분
- HTTP 통신에 대한 기본적인 이해, RESTful API에 대한 설계나 개발 경험이 있으신 분
- Function, Class, Instance, Object Literal 에 대해 기본적인 내용을 알고 있고, 상황에 따라 적절하게 사용하고 계신 분
- 기본적인 SQL 문법, JOIN, Subquery 등을 활용할 줄 아시는 분
- RDBMS의 인덱스가 무엇인지 알고 있고, 어떤 경우 인덱스가 사용이 안 되는지 알고 계신 분
- Git과 Github에 대한 기본적인 사용법을 알고 있고, 기본적인 Git의 브랜치 전략들을 사용하는 데 무리가 없으신 분"
주식회사 피클플러스,서울 중구 한강대로 416 서울스퀘어 위워크,웹 프론트엔드 엔지니어,주니어 (1~3년),"['TypeScript', 'React', 'Next.js', 'JavaScript', 'httpx', 'REST API', 'Git', 'AWS', 'ssr']","• 성능 최적화와 테스트코드 작성 경험
• 코드리뷰를 통한 협업 경험
• 단위 테스트 및 UI 테스트 경험
• SSR, 웹뷰 개발 경험
• 글로벌 플랫폼 개발 및 국제화 경험
• AWS를 이용한 배포와 운영 경험",https://www.rallit.com/positions/2176/%EC%9B%B9-%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4,"• 웹 프론트엔드 개발 업무 경력 2년 이상 혹은 유사한 경험이 있으신 분
• 한 가지 이상의 JavaScript 프레임워크 사용 경험이 있으신 분 (React 혹은 Vue)
• HTTP 통신에 대한 기본적인 이해와 REST API 클라이언트 개발 경험이 있으신 분
• Git 버전관리 시스템에 대한 이해와 사용 경험이 있으신 분
• 타 직군과의 협업 및 커뮤니케이션이 원활한 분"
주식회사 픽소,,"앱스토어 1,800만 다운로드 달성! 글로벌 무대에서 위대한 성과를 이루기까지!🔥
이 위대한 도전에 함께 할 픽소 백엔드 엔지니어를 찾습니다!",주니어 (1~3년),"['Node.js', 'TypeScript', 'Webpack', 'AWS', 'Lambda', 'dynamodb', 'GitHub', 'Slack', 'Notion']","- 프로덕트 개발 full cycle에 대한 깊은 이해와 경험이 있으신 분
- 아키텍쳐 변경에 따른 마이그레이션 경험이 있으신 분
- AWS 혹은 기타 클라우드 환경을 활용한 개발/운영 경험이 있으신 분
- 글로벌 서비스를 위한 인프라 아키텍처 설계, 개발 경험이 있으신 분",https://www.rallit.com/positions/2280/%EB%B0%B1%EC%97%94%EB%93%9C-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-3%EB%85%84-%EC%9D%B4%EC%83%81,"- 픽소의 미션과 비전을 이해하고, 공감하실 수 있는 분
- node.js 기반의 백엔드 직무 경험이 3년 이상 이신 분
- typescript, Kotlin/Spring 및 MSA 아키텍처 개발 경험이 있으신 분
- CMS(Content Management System) 연동 개발 경험이 있으신 분
- 다양한 직군의 팀원들과 원활한 커뮤니케이션과 협업이 가능하신 분"
스팬딧,서울 성동구 아차산로 68 AU COMMERCE 10층,스팬딧에서 시니어 백엔드 개발자를 채용합니다.,시니어 (9년 이상),"['Ruby on Rails', 'Java', 'Spring Boot', 'AWS', 'JPA', 'Github', 'MySQL', 'PostgreSQL', 'Ruby']","• 대규모 서비스의 설계, 개발 및 유지보수 경험이 있으신 분
• 테스트 자동화 또는 TDD 경험이 있으신 분
• Ruby on Rails를 이용한 서비스 개발 경험이 있으신 분
• 이종간 프로그램언어로 작성된 서비스를 개발하거나 운영해본 경험이 있으신 분
• CI & CD 를 구축하거나 운영해본 경험이 있으신 분
• IT 스타트업 경험이 있으신 분",https://www.rallit.com/positions/288/%EC%8B%9C%EB%8B%88%EC%96%B4-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,"• 백엔드 개발 경력 7년 이상 또는 그에 준하는 실력을 갖추신 분
• 소프트웨어 아키텍처 또는 서비스 인프라 설계 가능하신 분
• 주도적으로 AWS 환경에서 개발 및 운영 경험이 있으신 분
• 웹서비스 API에 대한 이해가 있으신 분
• (언어 무관) 서버 사이드 Framework에 대한 깊이 있는 이해가 있으신 분
• RDBMS 설계 및 운영 경험이 있으신 분"
주식회사 바텍,,의료용 플랫폼 서비스 서버 컨테이너 운용 및 Data 모니터링 시스템 구축,경력무관,"['DevOps', 'Kubernetes', 'Kafka', 'Elasticsearch', 'Jenkins', 'Github', 'Docker', 'AWS']","1) Docker 활용 경험 4년 이상
2) AWS 활용 경험 보유",https://www.rallit.com/positions/215/devops-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EB%AA%A8%EC%A7%91-%EC%9E%AC%ED%83%9D%EA%B7%BC%EB%AC%B4-%ED%8C%90%EA%B5%90-%EC%98%A4%ED%94%BC%EC%8A%A4-%EA%B7%BC%EB%AC%B4-%EA%B0%80%EB%8A%A5,"1) 학력 : 학사 이상
2) 전공 : 컴퓨터 공학 계열
3) 경력 : 무관"
(주)스플랩,서울 강남구 삼성로 507 JS타워 4층 412호,"기하급수적 성장의 시작도 결국, 한 명의 고객 만족에서 시작합니다. 스플랩의 Backend Developer는 Backend Chapter에 합류하여 <토비의 스프링> 저자인 Toby를 비롯해 최고의 팀원들과 함께 글로벌 B2B SaaS 우모(Umoh)의 초기 제품 주도 성장(Product Led Growth)을 만듭니다.",주니어 (1~3년),"['Java', 'Kotlin', 'Spring Boot', 'JPA', 'JUnit', 'AWS', 'MySQL', 'MongoDB', 'Redis', 'GitHub']","이런 분은 더욱 환영해요!
- Kotlin 언어에 대한 이해와 Spring/JPA에서 사용방법을 이해하고 개발을 경험하신 분
- 좋은 아키텍처와 간결한 코드에 관심이 있고 끊임없이 고민하는 분
- 업무 로직을 도메인 오브젝트 모델로 작성하고 검증하는 개발 방법에 경험이 있으신 분
- 프로덕트와 비스니스 관점에서 고객 지향적으로 생각하며 개발하는 분
- 다양한 포지션의 동료들과 협업하여 공동의 목표를 달성하는 과정을 즐기는 분
- 비즈니스에 대한 이해를 기반으로 기획을 포함한 개발 전과정에 참여 의지가 있는 분

프로덕트 팀은 이렇게 일합니다
- 1주일 단위로 스프린트를 진행합니다. 스프린트 시작을 위한 회의를 하고 스프린트가 끝날 때 회고를 통하여 발전하고 있습니다.
- 효율적인 업무를 위해 이슈 관리는 지라(Jira), 커뮤니케이션은 슬랙(Slack), 문서 관리는 노션(Notion)과 컨플루언스(Confluence)를 사용하여 업무의 효율성을 향상시키고 있습니다.
- 좋은 코드를 유지하기 위하여 코드를 리뷰하고 CI/CD를 활용하여 테스트부터 배포까지 자동화 합니다.",https://www.rallit.com/positions/2297/backend-developer,"이런 분을 찾습니다!
- 2년 이상 또는 그에 준하는 Java/Spring 기반 백엔드 서비스 개발 및 유지 관리 경험을 가지신 분
- SpringMVC와 서버사이드 렌더링 뷰 기술(Thymeleaf등)을 이용한 웹 애플리케이션 개발 경험이 있으신 분
- HTML/CSS 및 자바스크립트 라이브러리를 활용해서 웹 페이지 작성해본 경험이 있으신 분
- 단위 테스트 코드를 작성해서 코드를 검증하는 경험이 있으신 분
- 서비스형 소프트웨어(SaaS)에 대한 이해도가 있는 분
- RDBMS, NoSQL에 대한 이해도가 있으신 분
- 단순히 주어진 문제를 해결하는 것이 아닌, 주도적으로 문제를 발견하고 분석해서 솔루션을 제안할 수 있으신 분"
스팬딧,서울 성동구 아차산로 68 AU COMMERCE 10층,스팬딧에서 백엔드 개발자를 채용합니다,미들 (4~8년),"['Ruby on Rails', 'Ruby', 'Java', 'Spring Boot', 'AWS', 'JPA', 'Github', 'MySQL', 'PostgreSQL']","• 대규모 서비스의 설계, 개발 및 유지보수 경험이 있으신 분
• AWS 기반 서비스 운영 경험이 1년 이상 있으신 분
• Ruby on Rails를 이용한 서비스 개발 경험이 있으신 분
• 다양한 팀과 협업하여 웹서비스를 운영해본 경험이 있으신 분
• IT 스타트업 경험이 있으신 분",https://www.rallit.com/positions/293/%EB%B0%B1%EC%97%94%EB%93%9C%EA%B0%9C%EB%B0%9C%EC%9E%90,"• 백엔드 개발 경력 3년 이상 또는 그에 준하는 실력을 갖추신 분
• 서버 사이드 프로그래밍 언어 및 Framework 사용 경험이 있으신 분
• MySQL(Maria DB), PostgreSQL 등 RDBMS 경험이 있으신 분
• Restful API로 서비스를 개발해 본 경험이 있으신 분
• 알고리즘, 자료구조, 운영체제 등에 대한 이해가 있으신 분
• 영어로 작성된 개발문서, 레퍼런스 등을 읽는데 어려움이 없으신 분
• 항상 기술적으로 더 나은 것을 추구하고 계속 성장하고자 하는 분"
(주)써머스플랫폼,서울 금천구 가산디지털1로 186 제이플라츠 제이플라츠 13층 1301호,[스마트택배] 스윗트래커CIC_인프라 담당 채용,미들 (4~8년),"['AWS', 'Linux']","• H/W, S/W 보안관리 경험자 우대
• 개인정보보호 보안관리 경험자 우대
• 동료와의 커뮤니케이션 협업이 즐거우신분",https://www.rallit.com/positions/1549/%EC%8A%A4%EB%A7%88%ED%8A%B8%ED%83%9D%EB%B0%B0-%EC%8A%A4%EC%9C%97%ED%8A%B8%EB%9E%98%EC%BB%A4cic-%EC%9D%B8%ED%94%84%EB%9D%BC-%EB%8B%B4%EB%8B%B9-%EC%B1%84%EC%9A%A9,"• 학력 : 학력무관
• 경력 : 2년~ 8년
• 보안장비 운영 경험자
• Cloud 서비스 운영 경험자
• 리눅스 운영 경험자"
주식회사 피클플러스,서울 중구 한강대로 416 서울스퀘어 위워크,백엔드 엔지니어 (Python),주니어 (1~3년),"['Django', 'MySQL', 'AWS', 'PostgreSQL', 'Git', 'httpx', 'Redis', 'MongoDB']","• AWS의 ECS, EKS를 이용한 배포 및 운영 경험
• Redis, MongoDB를 이용한 개발과 사용 경험
• 빌드, 테스트, 배포 자동화 구축 경험
• 모니터링 시스템을 이용한 장애 탐지와 해결 경험
• 글로벌 플랫폼 개발 및 국제화 경험",https://www.rallit.com/positions/2175/%EB%B0%B1%EC%97%94%EB%93%9C-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-python,"• Django 기반의 실무 백엔드 개발 경험이 있으신 분
• MySQL, PostgreSQL 등의 RDBMS 사용과 설계 경험이 있으신 분
• HTTP 통신에 대한 기본적인 이해와 RESTful API 개발 경험이 있으신 분
• Git 버전관리 시스템에 대한 이해와 사용 경험이 있으신 분
• 타 직군과의 협업 및 커뮤니케이션이 원활한 분"
런치팩 주식회사,서울 강남구 역삼로 175 현승빌딩 팁스타운 S3 4층 B호,"개발자 없이 창업할 수 있는 세상을 향해 도전하는 런치팩에서,
빠른 자기 성장을 꿈꾸는 주니어 프론트엔드 개발자를 찾습니다!",주니어 (1~3년),"['Vue.js', 'AWS', '플랫폼 비즈니스']","이런 관심/경험은 마음껏 어필해 주세요!
- 웹 기반 UI Editor 개발 경험
- Vue.js 프로젝트 실무 개발 경력 1년 이상
- Django, Node.js 등 백엔드 개발 경험
- AWS 인프라 구축 경험
- UI/UX에 대한 관심
- 플랫폼 서비스를 개발/운영해 본 경험
- 프론트엔드 프로젝트 체계화에 대한 관심",https://www.rallit.com/positions/1222/%EB%9F%B0%EC%B9%98%ED%8C%A9-%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A3%BC%EB%8B%88%EC%96%B4,"이런 분이 필요합니다.
- 프론트엔드 개발 경력 1년 이상 보유하고 계신 분
- 대학교 졸업(4년) 이상의 학력이 있으신 분
- 상용 서비스 개발/운영 경험이 있으신 분
- Vue.js 프로젝트 개발 경험이 있으신 분
- 반응형 웹 개발 경험이 있으신 분

저희와 핏이 잘 맞을 수 있는 분들의 유형이에요.
- 개발자 없이 웹서비스 구현이 가능한 세상에 기여하고 싶으신 분
- 스타트업 창업에 관심이 높거나, 실제로 창업을 시도하고 초기 허들을 경험한 분
- 팀원들과 함께 소통하며 문제를 해결해 나갈 수 있으신 분
- 문제를 인식하고 해결하는 데 있어 주도적으로 일하는 것을 편하게 느끼시는 분"
바티AI,서울 강남구 테헤란로2길 27 패스트파이브빌딩 1116호,바티AI의 SaaS형 업무 자동화 서비스인 바티(bati)를  함께 만들어가는 백엔드 개발자 입니다.,미들 (4~8년),"['Java', 'JavaScript', 'REST API', 'MSA', '도메인', 'RPA', 'NLP', 'Python', 'React', 'AWS']","[성향]
ㆍ끊임없는 연구와 신기술에 대한 욕구가 강한 분
ㆍ기억보다는 기록을 좋아하시는 분
ㆍ업무 효율화 또는 자동화에 대한 관심이 있으신 분
ㆍ구성원과 협업을 좋아하고 서로 간의 도움을 주실 수 있는 분
ㆍ긍정적인 업무 태도와 마인드

[기술과 경험]
ㆍ스타트업 근무 경험자
ㆍB2B SaaS 서비스 또는 RPA 자동화 관련 경험이 있으신 분
ㆍMSA (MicroService Architecture), Event / Domain Driven Architecture 경험 및 지식
ㆍ데이터베이스 모델링 가능하신 분
ㆍ실시간 대규모 트래픽, 대용량 데이터 처리 경험자
ㆍAWS 등 클라우드 기반 서비스 인프라 설계 및 관리를 수행한 경험이 있으신 분
ㆍ자연어처리, 텍스트마이닝, 인공지능에 대한 경험이 있으신 분
ㆍNginx, Apache, Varnish, Redis, RabbitMQ, Kafka 등 다양한 오픈 소스 플랫폼 경험이 있으신 분
ㆍNext.js 프레임워크 경험이 있으신 분",https://www.rallit.com/positions/1485/%EC%9E%90%EB%8F%99%ED%99%94-%EB%85%B8%EC%BD%94%EB%93%9C-%ED%88%B4-java-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EA%B2%BD%EB%A0%A5,"ㆍ5년 이상 Java(Spring framework) 개발 경험자 (혹은 그에 준하는 실력을 갖추신 분)
ㆍRESTful API에 대한 개발 경험이 있으신 분
ㆍ새로운 것을 배우고 습득하는데 두려움이 없는 분"
지나인,,전세계 한국어 학습자들이 더 재미있게 공부할 수 있는 온라인 공간을 같이 만들어 나갈 개발자 분을 찾습니다.,미들 (4~8년),"['PHP', 'Wordpress', 'AWS', 'DBMS/RDBMS']","- Docker기반 서비스 개발 경험
- 로그 시스템을 이용한 에러 감지 및 트러블 슈팅 경험
- 코드 리뷰, 개발 블로그 등 함께 성장하는 문화를 중요하게 생각하시는 분",https://www.rallit.com/positions/1132/ttmik-backend-%EA%B0%9C%EB%B0%9C%EC%9E%90,"- 3년 이상 혹은 그에 준하는 백엔드 서비스 개발 및 운영 경험
- AWS 및 퍼블릭 클라우드 서비스 사용/운영 경험
- RDBMS 상에서 스키마 설계 및 서버 운영 경험
- 하나 이상의 백엔드 언어에 대한 기본적인 이해 

------------------------------------------------------------
지원 서류
- 이력서
- 포트폴리오 또는 경력기술서
- 깃허브 링크, 링크드인 프로파일 (선택)"
(주)레인포컴퍼니,,"레인포컴퍼니와 기존 택시의 단점, 유상운송에 대한 문제를 해결할 프론트엔드 개발자를 구합니다",미들 (4~8년),"['React', 'Next.js', 'React Native', 'Redux', 'JavaScript', 'TypeScript', 'AWS']","**우대사항은 그저 우대사항일 뿐입니다.**

- TypeScript 경험이 있으시면 더욱 좋습니다.
- 유지보수성 및 확장성을 고려한 코드 구현 경험
- 테스트 코드 작성 경험이 있으신 분
- 문서화를 습관처럼 하시는 분",https://www.rallit.com/positions/1357/%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,"- React 혹은 React Native 개발 및 운영 경험이 2년 이상이거나 그에 준하는 개발 경험이 있으신 분
- HTML, CSS, JavaScript에 대한 깊은 이해가 있으신 분
- Redux, MobX와 같은 상태 관리 라이브러리 사용 경험이 있으신 분
- Git을 사용한 형상 관리 경험이 있으신 분
- 문제 해결에 대한 다양한 접근과 해결 방안에 대해 고민하시는 분
- 커뮤니케이션이 원활하고 코드 리뷰에 적극적이신 분
- 개발자로서 성장에 대해 계속 고민하시는 분"
피나클 FINAKLE,,Backend 개발 및 팀원들을 매니징하며 팀을 리딩합니다.,Lead 레벨,"['Python', 'FastAPI', 'Docker', 'Kubernetes', 'AWS', 'ec2', 'MySQL', 'Node.js', 'nginx', 'Redis']","- 신규 서비스 또는 플랫폼을 개발 및 런칭하고 성장시켜보신 경험이 있으신 분
- 빠르게 변화하고 성장하는 스타트업 환경에 적응 가능한 분
- 핀테크 경험, 증권계좌 연동, 금융 공공API 연동, 금융기관등 외부 시스템 연동 및 사용 경험이 있으신 분
- 웹, 앱서비스 개발 전반에 대한 풍부한 경험 및 지식 보유하신 분
- 블록체인 기술에 대한 이해와 응용경험이 있으신 분

- 유연하고 긍정적인 관점으로 상황과 업무를 바라보는 마인드를 소유하신 분
- 주니어 엔지니어를 멘토링하고, 다양한 이해관계자 간의 의사소통을 원만히 할 수 있는 능력이 있는 분
- 좋은 개발 문화에 관심이 깊거나 도입시킨 경험이 있는 분
- 팀에 필요한 신기술 도입을 검토하고 적용해본 경험이 있는 분",https://www.rallit.com/positions/2113/backend-developer-leader-senior,"- 백엔드 개발 경력 7년 이상 혹은 이에 준하는 프로젝트 개발 경험을 보유하신 분
- Python 기반 프레임워크및 AWS를 통한 웹 서비스 구축 경험이 충분히 있으신 분
- 비즈니스 핵심을 이해하고 효율적인 데이터 구조 및 API 설계가 가능하신 분
- 관계형 데이터베이스 설계, 모델링 및 운영 경험
- 실제 엔드유저 대상 서비스 개발 및 운영 경험이 있으신 분
- 개발팀의 팀원들을 매니징하며 팀을 리딩한 경험이 있으신 분"
문토,서울 강남구 테헤란로 503 하이브로빌딩 11층 1109호,"문토는 더 많은 사람들이 관심사를 기반으로 온라인으로도, 오프라인으로도 경계없이 더 잘 연결될 수 있도록 돕는 관심사 기반 ON&OFF 커뮤니티 플랫폼입니다.",미들 (4~8년),"['Node.js', 'AWS', 'NestJS', 'PostgreSQL', 'Redis', 'ec2']","- 컴퓨터공학 및 공학 관련 계열을 전공하신 분
- 백엔드 개발 경력 5년 이상인 분
- Docker를 사용해보신 분
- 서버 아키텍처에 대한 풍부한 지식 및 경험을 지니신 분",https://www.rallit.com/positions/1980/node-js-%EA%B0%9C%EB%B0%9C%EC%9E%90,"- 백엔드 개발 경력 3년 이상 혹은 이에 준하는 경험을 가지고 계신 분
- 웹 서비스에 대한 이해가 있으신 분
- Due를 잘 지키고 책임감이 있으신 분
- 코드 리뷰에 긍정적이고, 원활한 커뮤니케이션이 가능하신 분
- 다양한 직군의 동료들과 협업하여 문제를 파악하고 해결할 수 있는 분"
