,회사,공고제목,주소,경력,기술
0,에임(AIM),백엔드 개발자,서울 강남구,경력 5-10년,"컴퓨터과학이나비슷한분야(전산,전자,수학등)의학사이상혹은이에준하는역량을가진분이필요해요.•Python(django/flask/fastapi등)으로3년이상서비스를운영해본경험을가진분이필요해요.•Java,SpringBoot를활용해서개발,운영해보신분도환영합니다."
0,디핑컴퍼니,웹/앱 백엔드 엔지니어,서울 성동구,경력 2-5년,"RESTfulAPI설계/구현경험이있는분•Python을이용한웹애플리케이션개발/운영경험이있는분•Python(Django)에대한전반적인기본지식을보유하신분•Mysql,MariaDB등의RDBMS경험이있는분•Github을활용한프로젝트관리가가능하신분•기본적인Linux/Unix명령어사용경험이있으신분"
0,파더스랩,프론트엔드 개발자(5년이상),서울 강남구,경력 5-10년,"대졸이상학력•경력5년이상•React,Vue,Angular중1개이상의개발경험•javascript개발경험•Typescript개발경험"
0,바이온사이트,ML Engineer,서울 성동구,경력 3-10년,"프로그래밍언어에대한높은이해도를가지신분•효율적인SQL혹은NoSQL데이터베이스구축이가능하신분•Tensorflow,PyTorch등의딥러닝프레임워크내부구조혹은동작형태를이해하신분"
0,마이플레이컴퍼니,백엔드 개발자,서울 마포구,경력 3-8년," PythonWebFramework경험3년이상경험이있는분, DjangoRESTFramework,DjangoMTV, AWS서비스사용경험이있는분, 서버리스인프라아키텍쳐설계경험이있는분(lambda,ECR,APIGateway,zappa), 주도적으로문제를찾고개선하기위한기획경험을갖추신분"
0,이큐브랩 (Ecube Labs),[100억↑투자] Sr. Front-end Engineer,서울 구로구,경력 5-15년," 만5년이상의Front, end개발경험또는이에준하는지식보유, TypeScript를이용한제품개발경험보유, Webpack/Parcel/Vite와같은번들러구성경험보유, React를이용한제품개발경험보유, Storybook을이용한UI구성요소개발경험보유, TDD/BDD경험보유, 웹서비스성능최적화경험보유(Lighthouse기준Performance95~100점), ICUMessages에대한지식보유"
0,파이온코퍼레이션,브이캣 프론트엔드 시니어/리드 개발자,서울 강남구,경력 5-10년,이미지편집기를만들수있는FE기술전문가•React기반SPA프론트엔드개발경력5년이상•고객요구사항에맞춘개발스택대응에거부감없으신분
0,투스카이,Backend 개발 (Java),서울 성동구,경력 5-15년,"웹어플리케이션설계및개발경험자로서실무5년차이상또는그에준하는역량보유하신분•Spring,Springboot을활용한웹서비스설계및개발경험이있으신분•JPA,Hibernate등ORM사용과도메인모델링경험이있으신분•RestfulAPI기반서버시스템의설계및개발경험이있으신분•AWS환경에서의개발및운영경험이있으신분•다수시스템의통합프로젝트에열정적으로임하실분•해외여행결격사유가없으신분"
0,엠몬스타,PHP 백엔드 개발자 (3~7년),경기 성남시,경력 3-7년,"Laravel(PHP8.1)•Mysql•Redis•Docker•클라우드서비스(AWS,Azure)•Git•Kafka"
0,버즈빌(buzzvil),[광고 플랫폼팀] 서버 개발자 (3년 이상),서울 송파구,경력 3-15년,"python/golang중하나이상의프로그래밍언어에능숙합니다.•이해하기쉬운코드와테스트하기좋은코드를작성합니다.•대용량트래픽을처리하는고가용성백엔드시스템의운영경험이있습니다.•AWS,GCP또는Azure와같은클라우드환경에서의서비스개발한경험이있습니다."
0,드래프타입,프론트엔드 개발자(5년 이상),서울 성동구,경력 4-10년,"런분과함께하고싶어요.•HTML,CSS및Javascript생태계에이해가깊으신분•React+Typescript프로젝트개발경험이5년이상이거나혹은그에준하는실력이있으신분•Redux상태관리패턴사용경험이있으신분•RESTAPI활용한Web및앱개발경험이있으신분•Backend,디자인및기획팀과원활한의사소통능력을가지신분•웹개발시canvas에대한이해와활용경험이있으신분•스타트업환경이익숙하고즐거우신분[사용중인기술스택]•Git,GitHub,Slack,AWS,Docker,MySql,Python,Swift,Kotlin,Vue,HTML,CSS,JavaScript,Linux,RestAPI,Zeplin,Swagger,StableDiffusion[요구하는기술스택]•Git,GitHub,Slack,React,TypeScript,HTML,CSS,JavaScript,RestAPI,Zeplin,Swagger[지원및면접절차]드래프타입의채용프로세스는서류확인, 1차컬쳐핏인터뷰(커피챗형식), 2차대면면접(실무인터뷰), 처우협의, 최종합격순입니다.•이력서는자유양식으로제출가능합니다.이력서와함께아래질문에대한답변을작성하여지원해주시면되겠습니다.※지원시지원서에개인GithubRepositoryURL을명시해주세요.1)지원자님께서는어떤동료이신가요?자신에대해자유롭게소개해주세요.2)지원자님의동기와목표를이해하고싶습니다.합류하실회사와포지션을선택하시는기준은무엇이며,왜저희드래프타입해당직군에지원관심을주시게되셨나요?3)지원자님께서성과를만드시는스타일을이해하고싶습니다.지원하신직군과관련하여,문제정의부터기획,실행등프로젝트의전반을주도적으로리딩하여유의미한성과를만들었던사례가있으시다면한번설명해주실수있으실까요?4)지원자님의직전연봉과,드래프타입에합류하게될경우생각하시는연봉수준과그판단기준을이해하고싶습니다.드래프타입에합류할시,생각하고계시는연봉수준은어떻게되시고,왜그렇게생각하셨는지함께알려주실수있으실까요•지원에대한확신이서지않으시거나,본포지션에관련하여궁금하셔서물어보고싶으신내용이있으시다면언제든지010, 5596, 0870(양승만,Co, founder)으로연락주세요:)•지원이전에우리팀과회사를판단해보고싶으시다면,역으로콜챗도가능합니다.대표와1:1콜챗이가능하며,필요하다면함께일하게될리더십,실무진들과의콜챗도진행가능합니다.*경력직의경우,1차인터뷰이후평판조회를요청드릴수있습니다."
0,하이,[Web3]크로스체인 블록체인 백엔드 개발자,서울 성동구,경력 5-10년,ypeScript를사용한Express프레임워크기반백엔드개발경험이있으신분RDBMS에대한이해도가준수하고PostgreSQL사용경험이있으신분AWS를통한인프라및CI/CD프로세스를구축한경험이있는분블록체인분야에관심이많고스마트컨트랙트를연결해본경험이있는분
0,케이에스티씨,Back-end 개발자 (10년 이상),서울 강남구,경력 10-25년,필수언어:Golang(혹은JAVA)ㆍ개발이력10년이상혹은동종업계경력6년이상
0,이큐브랩 (Ecube Labs),[100억↑투자] Sr. IoT Back-end Engineer,서울 구로구,경력 5-15년,"#자격요건, 만5년이상의Back, end개발경험또는이에준하는지식보유, Node.js,TypeScript를이용한개발경험보유, CoAP,MQTT에대한이해보유, LPWAN(NB, IoT,LoRaWAN)환경을위한IoT통신서버개발경험보유, MQTTBrokerServer개발경험보유, ProtocolBuffer를이용한통신서버개발경험보유, gRPC를이용한IoT기기와서버간의통신경험보유"
0,더블엑스소프트(크립토택스),백엔드(Node.js) 개발자,서울 강남구,경력 3-8년,"3년이상의Node.js를활용한백엔드개발경험이있는분•AWS의다양한서비스(lambda,apigateway,rds등)사용경험이있는분•Mysql,MongoDB,Redis를활용한개발경험이있는분•가상자산거래및파생상품,Defi등을경험해봤거나이해도가높은분"
0,제로엑스플로우,AWS Infra Engineer(4년 이상),서울 마포구,경력 4-10년,4년이상의AWS서비스운영경험•PostgreSQL/RDS/AWSLamda관련경험•네트워크/인프라보안에대한기본지식
0,키즐링,백엔드 또는 풀스택 개발자(4년 이상),서울 광진구,경력 4-5년,"4년이상의백엔드또는풀스택개발경력이있거나그에준하는실력을갖추신분•JavaScript,MySQL,AWS에대한이해를갖추신분•함께서비스를만드는동료들과의원활한커뮤니케이션이가능하신분•AWS서버및DB인프라구축경험이있으신분"
0,브레이브컴퍼니,Backend Developer (3년차 이상),서울 강남구,경력 3-10년,"BackendDeveloper로3년이상제품을개발해본경험이있으신분*Nest.js(Typescript)혹은Django(Python)을익숙하게사용하실수있으신분*AWS,GraphQL사용에익숙하신분*Agile프로세스개발에익숙하신분*테스트코드작성,DevOps에익숙하신분*논리적인사고와효율적인커뮤니케이션으로다양한구성원과능숙한협업이가능하신분"
0,큐리어슬리,[에어클래스] 프론트엔드 개발자 (5년차 이상),서울 서초구,경력 5-8년,"React개발경험이필요합니다.공용컴포넌트의디자인이나리펙토링에대해논의할수있는지식과경험이있으면좋겠습니다.React사용법을익히는과정에서“동작원리”를궁금해하셨다면두팔벌려환영입니다.•백엔드개발자,모바일앱개발자와원활하게대화할수있는기반지식이필요합니다.동일한어플리케이션이다양한도메인을통해서비스되고있다보니,단순한서비스/개발환경에서만나지못하는이슈들을자주접하게됩니다.•역량이경력연차에비례한다고여기지않습니다.다만,경험을통해습득한지식은돌발적인상황에빠르게대처하거나,난해한이슈의원인을찾는데큰도움을줄수있다고믿습니다.이번채용포지션의역할수행을위해일반적인통념상5년정도의개발경험이필요하다고판단하고있습니다.•새로운지식습득을즐기는것은좋지만,기술을적용해보는행위에몰두하는것은지양합니다.새로운기술,제품은항상기존의“어떤문제”를해결하는과정에서탄생합니다.이부분에대한이해를바탕으로우리가동일한문제를겪고있으니효율적으로해결할수있다고동료들을설득해주신다면,얼마든지시도해보실수있는권한도드립니다.•당연하지만나이와성별은평가에반영되지않습니다.＜사용하는기술스택＞, TypeScript,React,NextJS, Recoil,pnpm,NxJS,MUI"
0,체인앱시스,Backend Engineer,서울 강남구,경력 3-10년,"TypeScript/JavaScript개발경력최소3년이상또는그에준하는역량보유•NestJS,Express경험및해당생태계에대한이해가있는분"
0,체인앱시스,Backend Engineer,서울 강남구,경력 3-10년,"TypeScript/JavaScript개발경력최소3년이상또는그에준하는역량보유•NestJS,Express경험및해당생태계에대한이해가있는분"
0,디지털워치독,Backend 개발자 (4년차 이상),경기 성남시,경력 4-8년," RESTAPI아키텍처에대한이해가있으신분, Spring을이용한서비스개발경험이있는분, SQL또는NoSQLDB사용경험이있으신분, 프로젝트형상관리경험이있는분(Git), 새로운도전이나배움을즐기고,책임감있는도전정신을가지신분, 경력4년차이상지원가능, Java및SpringFramework(SpringBoot), Mysql,Redis,MongoDB, Docker,Jenkins(CI/CD)"
0,트루라이트코리아,개발 팀장,서울 강남구,경력 10-15년,"개발팀리더급(팀장),개발실무10년~15년•플랫폼서비스개발/운영경험필수•백엔드서버&웹개발및운영경력10년이상•개발팀리딩경험•팀인력운영및기술관련이슈해결에능동적인분•내/외조직및인력과커뮤니케이션이원활하신분•팀리더및프로젝트리더의경험이있으신분•해외개발자와영어로커뮤니케이션가능한분•Jira,Confluence,Figma기반프로젝트관리경험보유•Git과GitFlow능숙자"
