,기업명,업종분류,사원수,설립연도,기업형태,매출액,주소,직무,이용하는 기술스택,자격요건,직급,우대사항,해당 페이지 URL,기업 홈페이지 URL
24,라이프시맨틱스,소프트웨어·솔루션·ASP,68.0,2012.0,중소기업,281892.0,,데브옵스 엔지니어,"['AWS', 'Kubernetes', 'Kafka', 'grafana', 'CI/CD']","• AWS, NCP 등 퍼블릭 클라우드 아키텍처 설계 및 운영 경험이 있으신 분
• Kubernetes 등 컨테이너 오케스트레이션 도구를 다뤄보신 분
• Kafka, ELK, InfluxDB, Grafana 등 옵저버빌리티 및 모니터링 인프라 운영 경험이 있으신 분
• CI/CD 파이프라인 구축 경험이 있으신 분
• 지시에 따라 업무를 수행하는 것이 아니라 적극적으로 문제를 정의하고 해결하는 분",0,"• 긍정적이고 원활한 커뮤니케이션 능력이 있으신 분
• 디지털 헬스케어 분야에 관심이 있으신 분",https://www.rallit.com/positions/2306/devops-engineer,lifesemantics.kr
25,오비맥주,음·식료품·식품가공,2011.0,1998.0,중견기업,156007020.0,서울특별시 강남구,Data Sr. Engineer,"['Python', 'SQL', 'Java', 'AWS', 'Azure', 'Google Cloud Platform']","[Tech]
- Proficiency in programming languages like Python, SQL, and Java.
- Familiarity with cloud platforms and services like AWS, Azure, or GCP.
- Understanding of data modeling and database design principles 
- Knowledge of data warehousing and ETL (Extract, Transform, Load) processes & best practices of pipeline - management  

[Leadership]
- A mindset of continuous learning
- Strategic thinking and the ability to align data engineering initiatives with organizational goals.
- Problem-solving and decision-making skills to overcome challenges and drive successful outcomes

[Position Experience]
- A bachelor's or master's degree in a relevant field such as Computer Science, Data Engineering, Data Science, or a related discipline. 
- Over 8+ years of experience in data engineering, data architecture, or a related field.
- Experience in managing and leading a team of data engineers. 
- Ability to effectively manage multiple projects and changing priorities",0,"[Tech]
- Experience in Data Science related projects
- Extensive experience working with Azure platforms & services

[Industry-Optional]
- CPG or alcohol industry
- Data scientist, data engineer, business analyst
- Data visualization 

[Personality-Optional]
- Ability to comprehend and converse in English to communicate effectively",https://www.rallit.com/positions/1791/data-sr-engineer,www.ob.co.kr
26,올림플래닛,소프트웨어·솔루션·ASP,70.0,2015.0,중소기업,1094648.0,서울특별시 강남구,BE개발자,"['GO', 'AWS', 'Kubernetes', 'Docker', 'Spring Boot', 'Java', 'Elasticsearch', 'MySQL', 'Node.js', 'JavaScript']","• 컴퓨터공학에 대한 전문 지식을 갖춘 분(학/석사 학위)

• 정보처리기사 자격증을 보유한 분

• 3D 그래픽에 대한 이해도가 높은 분

• 개발 트렌드 분석 및 셀프 트레이닝 역량을 지닌 분",0,"• Docker 및 Kubernetes 사용 경험이 있는 분

• 인프라 운영 및 장애 대응 경험이 있는 분",https://www.rallit.com/positions/2263/be%EA%B0%9C%EB%B0%9C,www.olimplanet.com/
27,원더베리,,,,,,서울특별시 도봉구,데브옵스 엔지니어,"['AWS', 'Google Cloud Platform', 'Azure', 'Docker', 'Kubernetes', 'CI/CD', 'REST API', 'GraphQL', 'Node.js']","- 1년 이상 유관 분야 개발 경험이 있으신 분
- 언어와 무관하게 하나의 언어에 대한 높은 이해도가 있으신 분
- Node.js 기반 프레임워크로 개발 경험이 있으신 분
- Docker를 사용한 개발 경험이 있으신 분
- 클라우드 환경에 대한 이해(AWS, GCP, Azure 등)가 있으신 분
- REST API 또는 GraphQL에 대한 이해가 있으신 분
- 버전 관리 도구(Git)를 능숙하게 사용하시는 분",0,"- Kubernetes 사용 경험이 있으신 분
- CI/CD 파이프라인 구축 경험이 있으신 분",https://www.rallit.com/positions/385/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4,
28,이너웨이브,,,,,,서울특별시 금천구,백엔드 개발자,"['Java', 'SQL', 'JPA', 'ORM', 'Shell Script', 'AWS', 'REST API', 'Node.js']","▣ 경력 7년~15년 개발자
▣ Java 언어 사용 가능하신분
▣ 스프링 프레임워크 사용 가능하신분
▣ 데이터베이스에 대한 이해 / SQL 사용 가능하신 분
▣ 신규 기술에 습득에 대해 두려움이 없으신 분",0,"▣ 마이크로서비스에 대한 이해 / 개발 가능하신 분
▣ JPA(ORM) 기반 개발 가능하신분
▣ 쉘 스크립트 개발 가능하신분",https://www.rallit.com/positions/1426/%EA%B2%BD%EB%A0%A5%EA%B0%9C%EB%B0%9C%EC%9E%90-%EB%B0%B1%EC%97%94%EB%93%9C,
29,그로잉랩,,,,,,,백엔드 시니어 개발자,"['Node.js', 'MySQL', 'AWS', 'Github']","- 웹서비스 개발을 7년이상 경험하신 분
- AWS 등의 클라우드 기반 서비스를 개발하고 운영한 경험이 있으신 분
- 웹 서비스의 설계/개발/성능 최적화를 경험이 있으신 분
- 빌드, 테스트, 배포 자동화 경험이 있으신 분",0,"- 다양한 환경에서 개발하신 경험이 있으신 분
- 서비스 인프라 설계 및 관리를 수행하신 분
- 팀 매니징 경험이 있으신 분
- 금융 또는 기업데이터를 활용한 프로젝트 경험이 있으신 분
- Machine Learning을 활용한 데이터 처리 경험이 있으신 분",https://www.rallit.com/positions/1368/%EB%B0%B1%EC%97%94%EB%93%9C-%EC%8B%9C%EB%8B%88%EC%96%B4-%EA%B0%9C%EB%B0%9C%EC%9E%90,
30,라텔앤드파트너즈,방송·광고·영상·오디오,36.0,2020.0,중소기업,332945.0,서울특별시 중구,데이터 베이스 관리자,"['Python', 'Spring Boot', 'AWS', 'Git', 'iOS', 'HTML/CSS']","• MSSQL 사용 경력
• 2년 이상의 DBA 경험",0,"• 데이터베이스 인덱스에 대한 이해
• 데이터베이스 성능 분석 및 튜닝에 대한 경험
• DB 서버 구축 및 운영",https://www.rallit.com/positions/1933/dba-%EC%A3%BC%EB%8B%88%EC%96%B4,
31,브랜디,소프트웨어·솔루션·ASP,20.0,2017.0,중소기업,35981.0,서울특별시 성동구,데브옵스 엔지니어,"['AWS', 'Python', 'bash', 'Terraform', 'infrastructure', 'helm']","- 4년 이상의 퍼블릭 클라우드 설계, 구축, 운영 경험을 보유하신 분
- Infrastructure as Code를 이해하고 구현할 수 있는 분 (Terraform, Packer, Helm)
- 스크립트 작성 또는 코딩 기술을 보유한 분 (Python, Bash 등) 컨테이너 및 컨테이너 오케스트레이션 환경에 대한 이해가 있으신 분
- GitOps, AWS Code Series, ArgoCD등 개발-빌드-배포 파이프라인과 관련된 다양한 도구들의 구성 및 활용 경험이 있으신 분
- 리눅스, 데이터베이스, 스토리지, 분산 시스템, 네트워크 등 인프라 환경 구성 요소들에 대한 기본적인 이해가 있으신 분
- 장애 발생 시, 장애 대응 및 재발 방지를 위한 다양한 경험을 가지신 분
- 반복적인 업무의 자동화 및 효율적인 운영환경을 구축하여 불필요한 리소스를 절감한 경험이 있으신 분",0,"- 클라우드 기반 대규모 서비스 구축/운영 과정에서 발생하는 문제를 구조적으로 해결해본 경험이 있는 분
- Terraform, Helm, Packer 등 다양한 도구를 활용해 인프라 구성을 자동화해본 경험이 있으신 분
- 마이크로서비스 아키텍처 구성 및 운영 경험이 있으신 분
- Kubernetes와 Istio를 활용하여 서비스를 운영이 가능하신 분
- 빠른 문제해결 능력으로 서비스 안정적으로 운영한 경험이 있는 분",https://www.rallit.com/positions/2038/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-devops-engineer,www.jober.io
32,바이브존,소프트웨어·솔루션·ASP,12.0,2020.0,중소기업,30027.0,서울특별시 강남구,미디어 서버 개발자,"['TypeScript', 'Git', 'JavaScript', 'AWS']","• 미디어 서비스 모바일 또는 TV app 개발 경험자
• 프론트엔드 기술 전반에 걸친 이해가 높으신 분
• React, JavaScript/TypeScript, JavaScript Style 능숙자",0,"• Tizen TV app 개발 경험자 (Web or .NET Framework)
• 미디어 서비스 개발 경험자 우대 (VOD, Live Streaming)
• 미디어 스트리밍 시스템 개발 경험자 우대
• RTP / RTSP / HLS / MPEG-DASH 등의 스트리밍 프로토콜 개발 경험
• Unit Test 및 CI/CD에 대한 경험자
• Git 사용한 협업이 가능하고 Code review에 적극적으로 참여
• 글로벌 팬덤 플랫폼 앱 서비스를 개발 및 운영하고 싶으신 분",https://www.rallit.com/positions/2310/%EB%AF%B8%EB%94%94%EC%96%B4-%EC%84%9C%EB%B2%84-%EA%B0%9C%EB%B0%9C,
33,하이프로토콜,전기·전자·반도체,93.0,2003.0,중소기업,1098497.0,서울특별시 성동구, 크로스체인 프로토콜 백엔드 시니어 개발자,"['TypeScript', 'Express', 'DBMS/RDBMS', 'PostgreSQL', 'AWS', 'aws-serverless', 'Redis', 'websockets']","이런 분과 함께 하고 싶어요

Typescript를 사용한 Express 프레임워크 기반 백엔드 개발 경험이 있으신 분

RDBMS에 대한 이해도가 준수하고 PostgreSQL 사용 경험이 있으신 분

AWS를 통한 인프라 및 CI/CD 프로세스를 구축한 경험이 있는 분

블록체인 분야에 관심이 많고 스마트 컨트랙트를 연결해본 경험이 있는 분",0,"이런 분이면 더 좋아요

AWS Lambda 서버리스 컴퓨팅 서비스를 사용해 서비스를 운영한 경험이 있으신 분

Redis 또는 Memcached와 같은 인메모리 데이터베이스를 통한 성능 개선 경험이 있으신 분

유닛 테스트, 통합 테스트 코드 작성 경험이 있으신 분

WebSocket을 통한 실시간 서비스 구축 경험이 있으신 분

코드 리뷰 등을 통해 개발 문화를 개선해나가고 싶으신 분

자유롭게 의견이나 피드백을 주고받는 등 커뮤니케이션이 원활하신 분",https://www.rallit.com/positions/2047/web3-%ED%81%AC%EB%A1%9C%EC%8A%A4%EC%B2%B4%EC%9D%B8-%ED%94%84%EB%A1%9C%ED%86%A0%EC%BD%9C-%EB%B0%B1%EC%97%94%EB%93%9C-%EC%8B%9C%EB%8B%88%EC%96%B4-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%B1%84%EC%9A%A9,www.ranix.co.kr
34,21세기전파상,도매·상품중개,3.0,2019.0,중소기업,25520.0,서울특별시 서초구,총괄 개발자,"['Git', 'Github', 'MySQL', 'SQL', 'React', 'React Native', 'JavaScript', 'Node.js', 'AWS']","• 3년 ~ 7년의 React.js 웹 또는 React Native 앱 개발 경험이 있으신 분.
• TypeScript에 대한 지식, 또는 이를 활용한 개발에 관심이 있으신 분
• javascript(ES6 이상), CSS, HTML 능숙하신 분
• Redux, Recoil, React-query 등 상태관리 경험이 있으신 분
• styled-components 사용 및 디자이너와의 협업 경험이 있으신 분
• RESTful API를 활용한 개발 경험이 있으신 분
• 테스트 및 배포 자동화에 대한 경험이 있으신 분
• 새로운 기술을 빠르게 배우고 이를 구성원들과 공유하는 것에 적극적이신 분
• 여러 이해관계자들과의 협업 과정에서 논리적으로 커뮤니케이션 하시는 분",0,"• 소프트웨어 설계에 대해 이해가 깊은 분.
• 실제 제품을 초기부터 개발, 배포, 업데이트한 경험이 있으신 분.
• React Native 기반 앱 개발 경험이 있으신 분.",https://www.rallit.com/positions/676/%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,
35,와탭랩스,소프트웨어·솔루션·ASP,85.0,2015.0,중소기업,621141.0,서울특별시 서초구,솔루션 엔지니어/IT 성능 컨설턴트,"['AWS', 'Shell Script', 'Java', 'Kubernetes']","필수 자격요건 (경력: 7~12년)
• Shell, Python 등 하나 이상 스크립트 언어 활용 가능자
• 원활한 커뮤니케이션 능력   

추가 자격요건 중 셋 이상 충족해야 합니다. 

• 무중단 대용량 서비스 운영 경험자
• CI/CD 숙련자
• 자동화 도구 개발 경험자 또는 숙련자
• 클라우드 보안업무 경험 
• Observability 개발 또는 기술지원 경험 
• Java 애플리케이션 개발 경험",0,"• MSA 서비스 구축 및 운영 경험
• 오픈소스 모니터링 구축 경험
• ISMS, ISO 27001, CSAP 등 보안 인증 경험
• 주요 오픈소스 프로젝트 Committer 및 기여자
• B2B SaaS 업무 경험자",https://www.rallit.com/positions/1305/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-devops-engineer,www.whatap.io
36,스테이지랩스,,,,,,서울특별시 중구,백엔드 개발자,"['Node.js', 'TypeScript', 'AWS', 'Git', 'GitHub']","우리는 이런분과 함께 하고 싶어요

 • NodeJS 기반 백엔드 서버 개발 경험이  있으신 분
 • Javascript(ES6+) 또는 Typescript 개발 경험이 있으신 분
 • MVC framework 기반의 웹 서비스나 API 개발 경험이 있으신 분
 • MySQL/PostgreSQL 등의 RDBMS 또는 DynamoDB/MongoDB 등의 NoSQL 경험이 있으신 분
 • Git / GitHub 등의 버전관리시스템 경험이 있으신 분",0,"아래에 해당되시는 분이면 더더욱 좋아요

 • AWS Lambda 기반 서버리스 아키텍처 개발 경험이 있으신 분
 • SQS / Kafka 등 비동기 메시지 기반 개발 경험이 있으신 분
 • MSA 기반 설계/개발 경험이 있으신 분
 • 대용량 트래픽 서비스 개발 및 운영 경험이 있으신 분
 • 새로운 기술 습득과 지식 공유에 즐거움을 느끼시는 분
 • 코드 개선 및 코드 리뷰에 적극 참여하시는 분",https://www.rallit.com/positions/2163/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,
37,디랙스,제조업기타,187.0,2001.0,중소기업,6509875.0,,AWS 소프트웨어 개발자,"['Java', 'Spring', 'MySQL', 'AWS', 'Android', 'iOS', 'JSP']","스킬

ㆍAndroid, iOS, JAVA, JSP, MySQL, Spring Framework ( 개발자 )

자격요건

ㆍ학력 : 초대졸이상

ㆍ경력 : 신입·경력",0,"우대사항

ㆍ전공 : 컴퓨터공학/AI 관련, 수학, 통계학

ㆍ솔루션 개발경험,  시스템 운영/유지보수 경험",https://www.rallit.com/positions/1776/aws-%EC%86%8C%ED%94%84%ED%8A%B8%EC%9B%A8%EC%96%B4-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EB%AA%A8%EC%A7%91,www.draxfit.com
38,빅웨이브로보틱스,,32.0,,,510000.0,서울특별시 강남구,백엔드 개발자,"['AWS', 'devops', 'React', 'Firebase', 'GitHub', 'SQL', 'Redis', 'Flutter', 'Git', 'JUnit']","• 웹 프론트엔드 개발 경험 5년 이상 또는 이에 준하는 실력을 가지고 계신 분
• React 등 SPA 기반 프레임워크를 이용해 프로젝트를 진행한 경험이 있으신 분
• FireBase 프로젝트 수행 이력 보유 또는 활용 가능하신 분
• 개발 참여 Reference 및 포트폴리오 제출 필수",0,"• 컴퓨터공학 전공 혹은 그에 준하는 전공 및 지식을 보유하신 분
• Flutter 앱 개발 경험이 있으신 분
• Server Side Rendering, REDIS 등 백엔드 개발 경험이 있으신 분
• TypeScript와 같은 JS 정적 타이핑 언어 경험이 있으신 분
• Jotai, Recoil 등 전역 상태관리 패턴을 사용한 경험이 있으신 분
• 새로운 기술에 대한 도전과 경험을 공유하고 함께 성장하는 것을 즐기시는 분
• 오픈소스 기반 웹, API 형태의 개발 경험이 충분히 있으신 분
• MSA 기반 시스템 개발 경험",https://www.rallit.com/positions/2052/%EB%A1%9C%EB%B4%87-%ED%86%B5%ED%95%A9-%EA%B4%80%EC%A0%9C-%EC%8B%9C%EC%8A%A4%ED%85%9C-%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-5%EB%85%84-%EC%9D%B4%EC%83%81,
39,씨드앤,소프트웨어·솔루션·ASP,24.0,2015.0,중소기업,40000.0,,데브옵스 엔지니어,"['MySQL', 'Docker', 'AWS', 'Lambda', 'Ansible', 'Elasticsearch']","- 1년 이상의 데브옵스, 인프라 관련 경력
- Ubuntu, alpine 리눅스, 네트워크에 대한 심층적인 이해
- Shell 스크립트, Python 사용 가능",0,"- 클라우드 서비스 (AWS, AZURE) 시스템 운영 경험
- CI/CD 구축 및 운영 경험
- EKS/AKS/GKE 등의 쿠버네티스 클라우드 서비스 경험
- MySQL, Redis, Elasticsearch 운영경험
- Nginx, HAProxy 운영경험
- 기본적인 개발 언어 이해 및 경험 (Python, Java, Javascript 등)
- 모니터링, 로깅 파이프라인 구축 및 운영 경험
- Terraform, Ansible, helm 등을 활용한 IaC 경험
- 새로운 기술에 대한 거부감이 없는 자세",https://www.rallit.com/positions/2059/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-devops-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-1%EB%85%84-%EC%9D%B4%EC%83%81,www.seedn.co.kr
40,롯데헬스케어,,,,,,서울특별시 송파구,,"['JavaScript', 'Kotlin', 'Spring Boot', 'Spring Batch', 'AWS', 'Kubernetes', 'TypeScript', 'Go', 'Python', 'Azure']","• 1년 이상의 서비스 개발 및 운영 경험자
• 본인이 사용한 기술과 환경에 대한 깊은 이해 보유자
• Kotlin, Spring Boot 를 활용한 Backend Application 개발 경험자
• Spring Data, Spring Batch 사용 경험자
• AWS 의 다양한 Service 사용 경험자
• Kubernetes 환경에서 개발, 운영 경험자
• Infra, Application 장애 대응 경험자
• 부하 테스트, 어플리케이션 & 쿼리 튜닝 경험자
• 요구사항의 정의와 시스템의 안정성을 위해 의미 있는 테스트 코드를 작성하는 분
• 검색과 기록에서 멈추지 않고 구현과 실험으로 지식을 습득하는 분
• 목표를 달성하는 전략을 다양하게 고민하고 실패를 대비하는 분
• 개발 환경과 조직문화의 발전에 기여한 경험이 있는 분
• 반복되는 작업을 자동화 하는 분
• 기술 스택 선정에 합리적인 기준을 두고 조직의 상황에 맞게 선택하는 분",0,"• JavaScript, TypeScript, Golang, Python 경험자
• Azure, GCP 사용 경험자
• 검색서비스 개발 경험자
• Cassandra, HBase, MongoDB 사용 경험자
• Kafka와 RabbitMQ 등 MQ 사용 경험자
• Terraform, Helm 사용 경험자
• Web Frontend, Native Client, DevOps 경력 보유자
• 외부 협력사와 협업 경험 보유자
• 레거시 시스템 재설계, 재개발 경험자
• 대규모 트래픽, 대용량 데이터 처리에 대한 경험자
• 오픈소스 개발/기여 경험자",https://www.rallit.com/positions/1639/%EC%84%9C%EB%B9%84%EC%8A%A4-%EB%B0%B1%EC%97%94%EB%93%9C-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4,
41,21세기전파상,도매·상품중개,3.0,2019.0,중소기업,25520.0,서울특별시 서초구,총괄 개발자,"['Git', 'Github', 'AWS', 'MySQL', 'SQL', 'React', 'React Native', 'JavaScript', 'Node.js']","• Git 사용 및 전반적인 소스 CI/CD 경험자
• Node.js express Nest.js Framework 개발 경험이 있으신 분 
• RESTful API구축 및 설계 경험이 있으신 분
• 외부 rest api 연동 및 Oauth2 기본 개념을 가지고 있으신 분 
• CentOS 및 클라우드 컴퓨팅 서버(AWS, NCP)관련한 지식이 있으신 분",0,"• 백엔드 실무 경험 3년 이상
• 로드 밸런싱 및 서버 부하 조절 경험이 있으신 분
• 커머스 또는 O2O 개발 경험이 있으신 분
• 풀스택 개발이 가능하신 분
• 초기 스타트업에서 주도적인 역할을 담당하였거나 창업 경험이 있으신 분",https://www.rallit.com/positions/678/%EC%8B%9C%EB%8B%88%EC%96%B4-%EA%B0%9C%EB%B0%9C%EC%9E%90,
42,인텔렉투스,연구개발업,5.0,2020.0,중소기업,8118.0,서울특별시 서초구,백엔드 엔지니어,"['TypeScript', '아키텍처', 'serverside-javascript', '빅데이터', '데이터 엔지니어링', 'database', 'DBMS/RDBMS', 'AWS', 'Google Cloud Platform', 'aws-serverless']","- 1+년 Data Platform 개발 또는 Data Engineering 관련 프로젝트 경험이 있으신 분
- 실무에서 사용 가능한 프로그래밍(API 개발) 기술을 보유하신 분 (JAVA, Python, Typescript 등)
- 웹 환경에서 MVP 수준의 웹 클라이언트부터 서버 API 까지 개발이 가능하신 분
- 클라우드 네이티브 어플리케이션 개발 및 테스트 주도 개발 방법론에 대한 이해와 도전 의지가 있으신 분
- 해외 출장 및 근무에 결격 사유 없으신 분",0,"- 3+년 데이터 분석 관련 프로젝트 경험이 있으신 분
- Data Warehouse 및 Data Lake에 대한 실무 경험이 있으신 분
- 일정 규모 이상의 Production 환경 소프트웨어 시스템의 데이터 ETL 구축 및 운영 경험이 있으신 분
- SRE(Site Reliability Engineering) 관련 경험이나 이해가 있으신 분
- 검색 엔진 개발 혹은 최적화에 대한 실무 경험이 있으신 분
- AWS and/or GCP, Azure 의 데이터 분석 서비스에 대한 실무 경험이 있으신 분
- 외국어로 업무 진행이 가능한 분(영어)",https://www.rallit.com/positions/2036/backend-api-sw-engineer,www.intellectuscorp.com
43,21세기전파상,도매·상품중개,3.0,2019.0,중소기업,25520.0,서울특별시 서초구,총괄 개발자,"['Git', 'Github', 'AWS', 'MySQL', 'SQL', 'JavaScript', 'React', 'React Native', 'Node.js']","• 개발조직 리드 경험자
• 좋은 개발문화를 만드는데 관심이 많으신 분
• 주니어 개발자 매니징
• 풀스택 실무 경험 6년 이상
• Git 사용 및 전반적인 소스 CI/CD 경험자
• TDD 테스트 주도 개발 경험자
• MySQL, Node.js express, Nest.js, Next.js, typescript 개발 경험자
• RESTful API구축 및 설계 경험이 있으신 분
• CentOS 및 클라우드 컴퓨팅 서버(AWS, NCP)관련한 지식이 있으신 분
• 웹접근성/표준 및 DOM에 대한 이해도가 있는 분
• 클린코드/코드리뷰 문화 적응 가능자",0,"• 프론트엔드는 next.js, react.js 사용중입니다
• bootstrap 기반 자체 UI 가이드 개발이 가능하신분",https://www.rallit.com/positions/679/%EA%B0%9C%EB%B0%9C-%EC%B4%9D%EA%B4%84-cto,
44,코코네M,인터넷·포털·컨텐츠·게임,190.0,2021.0,중소기업,944972.0,,  SRE엔지니어,"['AWS', 'Docker', 'CI/CD', 'Jenkins']","• AWS, GCP 와 같은 클라우드 서비스의 운영 경험이 있는 분
• CI/CD 구축 및 운영 경험이 있는 분
• 무중단 서비스의 고가용성 유지를 위한 서버 인프라 설계 및 모니터링 경험이 있는 분
• 대용량 트래픽 서비스 운영 경험 및 트러블 슈팅 경험
• IT 장애발생시 장애조치 리드 및 원인분석, 유관부서 커뮤니케이션 역량을 보유하신 분
• 신규 또는 기존 서비스 성능테스트 및 분석, 개선 역할을 해본 경험",0,"• DevOps/SRE 팀의 리딩 경험이 있는 분
• 장애 예방과 탐지, 전파와 조치 등의 프로세스를 정립하고 개선한 경험이 있는 분
• 인프라 및 미들웨어 연계 구간에 대한 깊은 이해와 구성 경험을 보유하신 분
• 다양한 인프라 및 어플리케이션, 오픈소스에 대한 아키텍처 설계, 구축 경험이 있으신 분
• Docker 및 Kubernetes, OpenShift 등 컨테이너 오케스트레이션 환경을 설계 및 구축한 경험이 있으신 분
• IaC 구축 및 운영 경험이 있으신 분
• 대규모 트래픽 처리를 위한 애플리케이션 인프라 구성 경험이 있으신 분
• 복잡한 시스템에 대하여 디버깅 할 수 있는 능력을 보유하신 분

[기술스택]

• CentOS, Ubuntu, RockyLinux, windows 
• AWS, GCP, NBP, On-premise
• munin, zabbix, prometeus , grafana, Datadog, CloudWatch, ELK, Redash, BigQuery
• MongoDB, MariaDB, Redis, ElasticSearch, CockroachDB
• Jira, confluence, Slack 
• bash, nodeJs, python
• Docker, K8S, ECR
• firebase, adjust, braze, google analytics",https://www.rallit.com/positions/1097/cocone-m-sre%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-site-reliability-engineering,cocone-m.com/
45,유한회사일루미나리안,,,,,,서울특별시 강남구,백엔드 개발자,"['Java', 'Go', 'ORM', 'GitHub', 'MySQL', 'MariaDB', 'Spring Boot', 'AWS']","- 1년 이상 또는 그에 준하는 백엔드 서비스 개발 및 운영 경험이 있으신 분
- Java, Golang 등 최소한 하나 이상의 언어를 사용하여 개발에 참여했던 경험이 있으시거나 해당 언어에 관심을 가지고 공부하시는 분
- ORM, 인증, Restful API 등 인터넷 서비스 개발 경험이 있으신 분
- MySQL 또는 Maria 등의 DB 사용경험이 있으신 분
- 여러 직무의 팀원들과 원활하게 대화할 수 있는 의사소통 능력을 가지신 분
- 담당하고 있는 개발 프로젝트에 대해 다른 팀원들이 이해할 수 있도록 설명하는 능력을 가지신 분",0,"- 컴퓨터 관련 학위가 있으신 분이면 더 좋습니다.
- 금융권 혹은 핀테크 프로젝트 개발 경험이 있으신 분이면 더 좋습니다.
- Spring Boot (Java, Kotlin) 기반으로 서비스를 구축/운영한 경험이 있으신 분이면 더 좋습니다.
- 결제 및 정산 관련 서비스의 개발 경험이 있으신 분이면 더 좋습니다.
- AWS 환경에서의 개발 경험이 있으신 분이면 더 좋습니다.
- 대규모 트래픽 처리 및 고가용성 처리 개발 경험이 있으신 분이면 더 좋습니다.
- 기본적인 자료구조/알고리즘에 대한 이해가 있으신 분이면 더 좋습니다.
- Github 링크 및 포트폴리오 (블로그) 링크 또는 관련 문서 제출이 가능하신 분이면 더 좋습니다.
- 개발지식 공유활동을 해본 경험(stackoverflow, 개인 블로그, 오프라인 컨퍼런스, git 등)이 있으신 분이면 더 좋습니다.
- 개발에 참여한 제품에 대한 책임감이 있으신 분이면 더 좋습니다.
- 높은 품질의 소프트웨어 개발을 위해 지속적인 고민과 노력이 있으셨던 분이면 더 좋습니다.
- 비즈니스 수준의 영어 혹은 일본어가 가능하신 분이면 더 좋습니다.",https://www.rallit.com/positions/2282/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,
46,넵튠클라우드,,,,,,서울특별시 강남구,백엔드 개발자,"['Spring', 'Node.js', 'Google Cloud Platform', 'AWS']","- 백엔드 개발 경력 3년 이상 (node.js, Java, C# 등)
- RESTful API 설계 및 개발 경험
- NoSQL(ex.MongoDB, DynamoDB etc) 활용 경험
- Cloud 서비스 이용 경험 (GCP, AWS, Azure 등)",0,"- Spring 활용 경험
- 데스크탑, 모바일, 웹 어플리케이션 개발 경험
- GraphQL 활용 경험
- CI/CD 구축, 운영 경험
- Event Driven Architecture 이해 (Kafka, RabbitMQ 등 활용 경험 )",https://www.rallit.com/positions/655/backend-developer,
47,픽소,,,,,,,백엔드 엔지니어,"['Node.js', 'TypeScript', 'Webpack', 'AWS', 'Lambda', 'dynamodb', 'GitHub', 'Slack', 'Notion']","- 픽소의 미션과 비전을 이해하고, 공감하실 수 있는 분
- node.js 기반의 백엔드 직무 경험이 5년 이상 이신 분
- typescript, Kotlin/Spring 개발 경험이 있으신 분
- MSA 아키텍처 개발 경험이 있으신 분
- CMS(Content Management System) 연동 개발 경험이 있으신 분
- 난이도 높은 문제를 최적의 솔루션으로 해결하시는 것을 즐기시는 분
- 다양한 직군의 팀원들과 원활한 커뮤니케이션과 협업이 가능하신 분
- 개인의 성과보다 팀의 성과에 더 가치를 두시는 분
- 글로벌 서비스 성공 경험을 주도적으로 만들어 가길 원하시는 분",0,"- IT 스타트업에서 테크 리드 혹은 프로젝트 리딩의 경험이 있으신 분
- 프로덕트 개발 full cycle에 대한 깊은 이해와 경험이 있으신분
- 글로벌 서비스를 위한 인프라 아키텍처 설계, 개발 경험이 있으신 분
- 아키텍쳐 변경에 따른 마이그레이션 경험이 있으신 분
- Java/Kotlin, Spring Boot에 대한 이해와 프로젝트 수행 경험을 가지신 분
- AWS 혹은 기타 클라우드 환경을 활용한 개발/운영 경험이 있으신 분",https://www.rallit.com/positions/2279/%EB%B0%B1%EC%97%94%EB%93%9C-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-5%EB%85%84-%EC%9D%B4%EC%83%81,
